Participant_ID,Capture_Time,Type_Code,,,1= your home
M60001,8/11/2019 16:21,4,,,
M60001,8/11/2019 16:34,4,,,
M60001,8/11/2019 17:04,4,,,
M60001,8/11/2019 19:54,4,,,
M60001,8/11/2019 22:10,1,,,
M60001,8/11/2019 22:13,1,,,
M60001,8/11/2019 23:08,1,,,
M60001,8/11/2019 23:17,1,,,
M60001,8/12/2019 6:30,1,,,
M60001,8/12/2019 7:45,4,,,
M60001,8/12/2019 8:04,4,,,
M60001,8/12/2019 8:50,4,,,
M60001,8/12/2019 9:22,4,,,
M60001,8/12/2019 9:56,4,,,
M60001,8/12/2019 11:48,4,,,
M60001,8/12/2019 12:16,4,,,
M60001,8/12/2019 12:32,4,,,
M60001,8/12/2019 12:38,4,,,
M60001,8/12/2019 13:21,4,,,
M60001,8/12/2019 13:47,4,,,
M60001,8/12/2019 14:06,4,,,
M60001,8/12/2019 14:43,4,,,
M60001,8/12/2019 14:49,4,,,
M60001,8/12/2019 15:20,4,,,
M60001,8/12/2019 15:42,4,,,
M60001,8/12/2019 16:50,4,,,
M60001,8/12/2019 18:52,4,,,
M60001,8/12/2019 19:02,4,,,
M60001,8/13/2019 6:27,1,,,
M60001,8/13/2019 7:57,4,,,
M60001,8/13/2019 8:09,4,,,
M60001,8/13/2019 9:50,4,,,
M60001,8/13/2019 12:29,4,,,
M60001,8/13/2019 13:19,4,,,
M60001,8/13/2019 13:34,4,,,
M60001,8/13/2019 13:46,4,,,
M60001,8/13/2019 15:11,4,,,
M60001,8/13/2019 16:02,4,,,
M60001,8/13/2019 17:11,4,,,
M60001,8/13/2019 21:06,1,,,
M60001,8/13/2019 22:12,1,,,
M60001,8/14/2019 10:40,4,,,
M60001,8/14/2019 12:38,4,,,
M60001,8/14/2019 13:24,4,,,
M60001,8/14/2019 14:22,4,,,
M60001,8/14/2019 14:44,4,,,
M60001,8/14/2019 18:02,4,,,
M60001,8/14/2019 21:14,1,,,
M60001,8/14/2019 21:15,1,,,
M60001,8/14/2019 21:20,1,,,
M60001,8/14/2019 21:21,1,,,
M60001,8/15/2019 5:50,1,,,
M60001,8/15/2019 6:16,5,,,
M60001,8/15/2019 10:18,4,,,
M60001,8/15/2019 11:59,4,,,
M60001,8/15/2019 16:33,4,,,
M60001,8/15/2019 16:34,4,,,
M60001,8/15/2019 20:59,1,,,
M60001,8/15/2019 21:00,1,,,
M60001,8/15/2019 21:01,1,,,
M60001,8/15/2019 21:02,1,,,
M60001,8/15/2019 21:05,1,,,
M60001,8/15/2019 23:07,1,,,
M60001,8/15/2019 23:17,1,,,
M60001,8/16/2019 6:47,11,,,
M60001,8/16/2019 7:22,11,,,
M60001,8/16/2019 11:56,4,,,
M60001,8/16/2019 11:58,4,,,
M60001,8/16/2019 12:00,4,,,
M60001,8/16/2019 19:51,1,,,
M60001,8/16/2019 19:52,1,,,
M60001,8/16/2019 21:37,1,,,
M60001,8/16/2019 21:49,1,,,
M60001,8/17/2019 7:26,4,,,
M60001,8/17/2019 7:58,9,,,
M60001,8/17/2019 9:12,4,,,
M60001,8/17/2019 10:28,8,,,
M60001,8/17/2019 10:48,4,,,
M60001,8/17/2019 11:36,4,,,
M60001,8/17/2019 11:45,4,,,
M60001,8/17/2019 11:50,4,,,
M60001,8/17/2019 12:06,4,,,
M60001,8/17/2019 15:19,4,,,
M60001,8/17/2019 15:55,4,,,
M60001,8/17/2019 22:15,1,,,
M60001,8/17/2019 22:40,1,,,
M60001,8/18/2019 7:56,1,,,
M60001,8/18/2019 9:06,4,,,
M60001,8/18/2019 9:10,9,,,
M60001,8/18/2019 14:05,4,,,
M60001,8/18/2019 15:19,4,,,
M60001,8/18/2019 16:55,4,,,
M60001,8/18/2019 17:32,4,,,
M60001,8/18/2019 20:19,4,,,
M60001,8/18/2019 21:33,1,,,
M60001,8/19/2019 9:20,1,,,
M60001,8/19/2019 9:44,1,,,
M60001,8/19/2019 12:09,1,,,
M60001,8/19/2019 13:02,1,,,
M60001,8/19/2019 13:44,11,,,
M60001,8/19/2019 14:50,1,,,
